dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_1084,0.011875175,0.04819685,-0.028957239,-0.014081398,-0.003676362,0.005673598,0.006799252,-0.036211309,0.02225661,0.430437482,0.277989146,0.263264763,0.197383621,0.225662688,0.325709796,0.39863248,,,,,,,,,,,,,,,,,,
DMR_up_1085,-0.010951417,-0.000536724,0.011376231,0.002610497,-0.016377457,-0.029645491,0.005951301,0.024663393,0.00195825,0.350623891,0.325096129,0.274490994,0.162491889,0.259218682,0.300379107,0.493016969,,,,,,,,,,,,,,,,,,
DMR_up_1086,-0.019397237,0.022719033,-0.007763137,-0.032639444,0.030177791,-0.009625196,0.001573521,0.006130989,-0.010573554,0.366732336,0.292842536,0.230849468,0.194573484,0.278779777,0.331929859,0.39534194,,,,,,,,,,,,,,,,,,
DMR_up_1087,-0.012723698,-0.01482856,0.0014859,0.000319777,-0.000739411,-0.009616796,0.007672817,0.001876612,0.013829663,0.450359354,0.283265088,0.228017598,0.169016053,0.199834112,0.319468409,0.55342625,,,,,,,,,,,,,,,,,,
DMR_up_1088,-0.02692239,0.013539415,-0.031648876,0.01590651,0.026821176,-0.032101231,-0.021215833,0.041545598,-0.012846762,0.386055182,0.339556292,0.274479557,0.212450969,0.268152916,0.271939194,0.529360047,,,,,,,,,,,,,,,,,,
DMR_up_1089,0.02347254,-0.032401086,0.01010352,0.001083201,-0.037729379,0.010083407,0.015703824,0.005504595,0.027651915,0.285424103,0.245555019,0.233900378,0.154668889,0.240061853,0.242595467,0.409103297,,,,,,,,,,,,,,,,,,
DMR_up_109,-0.015868326,-0.006354846,0.010880198,-0.000320387,-0.017220528,0.019932595,0.002188447,0.007162111,-0.016267592,0.354064382,0.276011418,0.228139154,0.172225858,0.197324679,0.246671722,0.386043343,,,,,,,,,,,,,,,,,,
DMR_up_1090,-0.02469237,0.000860744,-0.023337214,-0.018285941,2.86E-05,0.047054181,-0.013992492,0.003061057,0.004611031,0.382124706,0.294577131,0.231161243,0.174918352,0.242291828,0.273671853,0.489192842,,,,,,,,,,,,,,,,,,
DMR_up_1091,0.003763777,0.006253654,0.003454573,-0.018971466,0.000810037,0.002261132,0.011736738,2.33E-05,-0.005568011,0.374340875,0.294122556,0.235651538,0.194780266,0.266787403,0.304385285,0.477197501,,,,,,,,,,,,,,,,,,
DMR_up_1092,-0.005758197,-0.002750039,0.012787593,-0.016022771,-0.039466304,-0.015384385,0.011398524,0.000280063,0.049157316,0.34973929,0.276982214,0.304624551,0.254733088,0.303043995,0.270917719,0.420644795,,,,,,,,,,,,,,,,,,
